"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 21:23:22 GMT 2021","Sun Jan 03 21:23:23 GMT 2021","963","test","registration_tests","","","","Register With Existing Profile",""
"passed","Sun Jan 03 21:23:30 GMT 2021","Sun Jan 03 21:23:32 GMT 2021","1243","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 21:23:20 GMT 2021","Sun Jan 03 21:23:21 GMT 2021","1038","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 21:23:28 GMT 2021","Sun Jan 03 21:23:29 GMT 2021","1536","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 21:23:23 GMT 2021","Sun Jan 03 21:23:24 GMT 2021","958","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:23:25 GMT 2021","Sun Jan 03 21:23:26 GMT 2021","1182","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 21:23:32 GMT 2021","Sun Jan 03 21:23:33 GMT 2021","850","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:23:17 GMT 2021","Sun Jan 03 21:23:18 GMT 2021","1283","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 21:23:33 GMT 2021","Sun Jan 03 21:23:34 GMT 2021","746","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:23:15 GMT 2021","Sun Jan 03 21:23:16 GMT 2021","947","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 21:23:21 GMT 2021","Sun Jan 03 21:23:22 GMT 2021","1018","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 21:23:13 GMT 2021","Sun Jan 03 21:23:14 GMT 2021","1008","test","login_tests","","","","Login With Valid Credentials",""
