"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 21:57:25 GMT 2021","Sun Jan 03 21:57:26 GMT 2021","1025","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 21:57:20 GMT 2021","Sun Jan 03 21:57:21 GMT 2021","908","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:57:11 GMT 2021","Sun Jan 03 21:57:12 GMT 2021","1081","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 21:57:13 GMT 2021","Sun Jan 03 21:57:14 GMT 2021","805","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 21:57:29 GMT 2021","Sun Jan 03 21:57:30 GMT 2021","860","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:57:27 GMT 2021","Sun Jan 03 21:57:28 GMT 2021","1127","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 21:57:17 GMT 2021","Sun Jan 03 21:57:18 GMT 2021","940","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 21:57:18 GMT 2021","Sun Jan 03 21:57:19 GMT 2021","1003","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 21:57:19 GMT 2021","Sun Jan 03 21:57:20 GMT 2021","942","test","registration_tests","","","","Register With Existing Profile",""
"passed","Sun Jan 03 21:57:30 GMT 2021","Sun Jan 03 21:57:31 GMT 2021","942","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:57:23 GMT 2021","Sun Jan 03 21:57:24 GMT 2021","1471","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 21:57:15 GMT 2021","Sun Jan 03 21:57:16 GMT 2021","1024","test","login_tests","","","","Logout from System",""
