"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 11:54:36 GMT 2021","Wed Jan 27 11:54:37 GMT 2021","1022","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 11:54:34 GMT 2021","Wed Jan 27 11:54:36 GMT 2021","2077","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 11:54:36 GMT 2021","Wed Jan 27 11:54:38 GMT 2021","1762","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 11:54:29 GMT 2021","Wed Jan 27 11:54:31 GMT 2021","1323","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 11:54:32 GMT 2021","Wed Jan 27 11:54:36 GMT 2021","3834","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 11:54:31 GMT 2021","Wed Jan 27 11:54:32 GMT 2021","1024","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 11:54:25 GMT 2021","Wed Jan 27 11:54:26 GMT 2021","1474","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 11:54:25 GMT 2021","Wed Jan 27 11:54:27 GMT 2021","1885","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 11:54:37 GMT 2021","Wed Jan 27 11:54:38 GMT 2021","1015","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 11:54:35 GMT 2021","Wed Jan 27 11:54:37 GMT 2021","1141","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 11:54:29 GMT 2021","Wed Jan 27 11:54:31 GMT 2021","1179","test","registration_tests","","","","Register With new User",""
"passed","Wed Jan 27 11:54:25 GMT 2021","Wed Jan 27 11:54:26 GMT 2021","1340","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 11:54:31 GMT 2021","Wed Jan 27 11:54:32 GMT 2021","1127","test","registration_tests","","","","Register With Existing Profile",""
