"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 09:07:42 GMT 2021","Wed Jan 27 09:07:44 GMT 2021","2082","test","registration_tests","","","","Register With new User",""
"passed","Wed Jan 27 09:07:39 GMT 2021","Wed Jan 27 09:07:40 GMT 2021","1086","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 09:07:50 GMT 2021","Wed Jan 27 09:07:51 GMT 2021","1045","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 09:07:37 GMT 2021","Wed Jan 27 09:07:38 GMT 2021","781","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 09:07:45 GMT 2021","Wed Jan 27 09:07:46 GMT 2021","901","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 09:07:56 GMT 2021","Wed Jan 27 09:07:57 GMT 2021","922","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 09:07:35 GMT 2021","Wed Jan 27 09:07:36 GMT 2021","1007","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 09:07:52 GMT 2021","Wed Jan 27 09:07:53 GMT 2021","1166","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 09:07:47 GMT 2021","Wed Jan 27 09:07:48 GMT 2021","1131","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 09:07:44 GMT 2021","Wed Jan 27 09:07:45 GMT 2021","944","test","registration_tests","","","","Register With Existing Profile",""
"passed","Wed Jan 27 09:07:53 GMT 2021","Wed Jan 27 09:07:55 GMT 2021","1531","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 09:07:41 GMT 2021","Wed Jan 27 09:07:42 GMT 2021","998","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 09:07:55 GMT 2021","Wed Jan 27 09:07:56 GMT 2021","751","test","registration_tests","","","","Register With Invalid Creds",""
