"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 22:22:21 GMT 2021","Sun Jan 03 22:22:22 GMT 2021","953","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 22:22:18 GMT 2021","Sun Jan 03 22:22:18 GMT 2021","810","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 22:22:27 GMT 2021","Sun Jan 03 22:22:28 GMT 2021","1018","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 22:22:32 GMT 2021","Sun Jan 03 22:22:33 GMT 2021","926","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:22:19 GMT 2021","Sun Jan 03 22:22:20 GMT 2021","1099","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 22:22:25 GMT 2021","Sun Jan 03 22:22:25 GMT 2021","846","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:22:33 GMT 2021","Sun Jan 03 22:22:34 GMT 2021","803","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:22:31 GMT 2021","Sun Jan 03 22:22:32 GMT 2021","1175","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 22:22:29 GMT 2021","Sun Jan 03 22:22:30 GMT 2021","1031","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 22:22:16 GMT 2021","Sun Jan 03 22:22:17 GMT 2021","961","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 22:22:22 GMT 2021","Sun Jan 03 22:22:23 GMT 2021","996","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 22:22:24 GMT 2021","Sun Jan 03 22:22:24 GMT 2021","867","test","registration_tests","","","","Register With Existing Profile",""
