"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 09:08:28 GMT 2021","Wed Jan 27 09:08:29 GMT 2021","1208","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 09:08:30 GMT 2021","Wed Jan 27 09:08:31 GMT 2021","938","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 09:08:26 GMT 2021","Wed Jan 27 09:08:27 GMT 2021","759","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 09:08:32 GMT 2021","Wed Jan 27 09:08:33 GMT 2021","823","test","registration_tests","","","","Register With Existing Profile",""
"passed","Wed Jan 27 09:08:33 GMT 2021","Wed Jan 27 09:08:34 GMT 2021","879","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 09:08:40 GMT 2021","Wed Jan 27 09:08:41 GMT 2021","1068","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 09:08:35 GMT 2021","Wed Jan 27 09:08:36 GMT 2021","1045","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 09:08:44 GMT 2021","Wed Jan 27 09:08:45 GMT 2021","857","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 09:08:43 GMT 2021","Wed Jan 27 09:08:44 GMT 2021","832","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 09:08:41 GMT 2021","Wed Jan 27 09:08:43 GMT 2021","1603","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 09:08:24 GMT 2021","Wed Jan 27 09:08:25 GMT 2021","1014","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 09:08:38 GMT 2021","Wed Jan 27 09:08:39 GMT 2021","1205","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 09:08:31 GMT 2021","Wed Jan 27 09:08:32 GMT 2021","1016","test","registration_tests","","","","Register With new User",""
