"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 22:28:44 GMT 2021","Sun Jan 03 22:28:45 GMT 2021","1246","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 22:28:34 GMT 2021","Sun Jan 03 22:28:35 GMT 2021","1029","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 22:28:47 GMT 2021","Sun Jan 03 22:28:47 GMT 2021","781","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:28:33 GMT 2021","Sun Jan 03 22:28:34 GMT 2021","938","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 22:28:31 GMT 2021","Sun Jan 03 22:28:32 GMT 2021","1303","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 22:28:26 GMT 2021","Sun Jan 03 22:28:27 GMT 2021","1188","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 22:28:41 GMT 2021","Sun Jan 03 22:28:43 GMT 2021","1409","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Sun Jan 03 22:28:29 GMT 2021","Sun Jan 03 22:28:30 GMT 2021","1143","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 22:28:39 GMT 2021","Sun Jan 03 22:28:40 GMT 2021","1354","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 22:28:37 GMT 2021","Sun Jan 03 22:28:38 GMT 2021","981","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:28:45 GMT 2021","Sun Jan 03 22:28:46 GMT 2021","961","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 22:28:36 GMT 2021","Sun Jan 03 22:28:37 GMT 2021","1003","test","registration_tests","","","","Register With Existing Profile",""
