"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 25 12:19:35 GMT 2021","Mon Jan 25 12:19:36 GMT 2021","1197","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Mon Jan 25 12:19:33 GMT 2021","Mon Jan 25 12:19:34 GMT 2021","1000","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:19:43 GMT 2021","Mon Jan 25 12:19:44 GMT 2021","959","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:19:25 GMT 2021","Mon Jan 25 12:19:26 GMT 2021","982","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Mon Jan 25 12:19:31 GMT 2021","Mon Jan 25 12:19:32 GMT 2021","969","test","registration_tests","","","","Register With new User",""
"passed","Mon Jan 25 12:19:37 GMT 2021","Mon Jan 25 12:19:39 GMT 2021","1163","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Mon Jan 25 12:19:44 GMT 2021","Mon Jan 25 12:19:45 GMT 2021","929","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:19:41 GMT 2021","Mon Jan 25 12:19:43 GMT 2021","1485","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Mon Jan 25 12:19:32 GMT 2021","Mon Jan 25 12:19:33 GMT 2021","958","test","registration_tests","","","","Register With Existing Profile",""
"passed","Mon Jan 25 12:19:27 GMT 2021","Mon Jan 25 12:19:28 GMT 2021","1457","test","login_tests","","","","Logout from System",""
"passed","Mon Jan 25 12:19:23 GMT 2021","Mon Jan 25 12:19:24 GMT 2021","1218","test","login_tests","","","","Login With Valid Credentials",""
"passed","Mon Jan 25 12:19:29 GMT 2021","Mon Jan 25 12:19:30 GMT 2021","1026","test","login_tests","","","","test_should_login[chromium]",""
"passed","Mon Jan 25 12:19:40 GMT 2021","Mon Jan 25 12:19:41 GMT 2021","1131","test","article_tests","","","","test_should_create_post[chromium]",""
