"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 12:36:04 GMT 2021","Wed Jan 27 12:36:05 GMT 2021","1644","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 12:36:09 GMT 2021","Wed Jan 27 12:36:10 GMT 2021","1257","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 12:36:12 GMT 2021","Wed Jan 27 12:36:15 GMT 2021","2422","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 12:36:10 GMT 2021","Wed Jan 27 12:36:11 GMT 2021","1001","test","registration_tests","","","","Register With Existing Profile",""
"passed","Wed Jan 27 12:36:10 GMT 2021","Wed Jan 27 12:36:11 GMT 2021","1154","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 12:36:04 GMT 2021","Wed Jan 27 12:36:06 GMT 2021","1620","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 12:36:12 GMT 2021","Wed Jan 27 12:36:14 GMT 2021","1868","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 12:36:04 GMT 2021","Wed Jan 27 12:36:05 GMT 2021","1613","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 12:36:13 GMT 2021","Wed Jan 27 12:36:15 GMT 2021","2647","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 12:36:09 GMT 2021","Wed Jan 27 12:36:10 GMT 2021","1298","test","registration_tests","","","","Register With new User",""
"passed","Wed Jan 27 12:36:15 GMT 2021","Wed Jan 27 12:36:16 GMT 2021","1048","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 12:36:14 GMT 2021","Wed Jan 27 12:36:18 GMT 2021","3757","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 12:36:16 GMT 2021","Wed Jan 27 12:36:17 GMT 2021","1025","test","registration_tests","","","","Register With Invalid Creds",""
