"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 03 21:21:26 GMT 2021","Sun Jan 03 21:21:27 GMT 2021","1118","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Sun Jan 03 21:21:24 GMT 2021","Sun Jan 03 21:21:25 GMT 2021","919","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:21:32 GMT 2021","Sun Jan 03 21:21:33 GMT 2021","958","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:21:21 GMT 2021","Sun Jan 03 21:21:21 GMT 2021","963","test","login_tests","","","","test_should_login[chromium]",""
"passed","Sun Jan 03 21:21:19 GMT 2021","Sun Jan 03 21:21:20 GMT 2021","1120","test","login_tests","","","","Logout from System",""
"passed","Sun Jan 03 21:21:22 GMT 2021","Sun Jan 03 21:21:23 GMT 2021","991","test","registration_tests","","","","Register With new User",""
"passed","Sun Jan 03 21:21:18 GMT 2021","Sun Jan 03 21:21:19 GMT 2021","823","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Sun Jan 03 21:21:30 GMT 2021","Sun Jan 03 21:21:32 GMT 2021","1164","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Sun Jan 03 21:21:17 GMT 2021","Sun Jan 03 21:21:18 GMT 2021","1007","test","login_tests","","","","Login With Valid Credentials",""
"passed","Sun Jan 03 21:21:23 GMT 2021","Sun Jan 03 21:21:24 GMT 2021","924","test","registration_tests","","","","Register With Existing Profile",""
"passed","Sun Jan 03 21:21:33 GMT 2021","Sun Jan 03 21:21:34 GMT 2021","926","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Sun Jan 03 21:21:28 GMT 2021","Sun Jan 03 21:21:29 GMT 2021","1080","test","article_tests","","","","Publish Article Flow from ArticlePage",""
