"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 25 12:06:41 GMT 2021","Mon Jan 25 12:06:42 GMT 2021","1320","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Mon Jan 25 12:06:49 GMT 2021","Mon Jan 25 12:06:50 GMT 2021","1026","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:06:38 GMT 2021","Mon Jan 25 12:06:39 GMT 2021","911","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:06:51 GMT 2021","Mon Jan 25 12:06:51 GMT 2021","893","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Mon Jan 25 12:06:46 GMT 2021","Mon Jan 25 12:06:47 GMT 2021","1197","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Mon Jan 25 12:06:35 GMT 2021","Mon Jan 25 12:06:36 GMT 2021","1029","test","login_tests","","","","test_should_login[chromium]",""
"passed","Mon Jan 25 12:06:37 GMT 2021","Mon Jan 25 12:06:38 GMT 2021","905","test","registration_tests","","","","Register With Existing Profile",""
"passed","Mon Jan 25 12:06:36 GMT 2021","Mon Jan 25 12:06:37 GMT 2021","1180","test","registration_tests","","","","Register With new User",""
"passed","Mon Jan 25 12:06:30 GMT 2021","Mon Jan 25 12:06:31 GMT 2021","959","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Mon Jan 25 12:06:43 GMT 2021","Mon Jan 25 12:06:45 GMT 2021","1346","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Mon Jan 25 12:06:32 GMT 2021","Mon Jan 25 12:06:33 GMT 2021","1242","test","login_tests","","","","Logout from System",""
"passed","Mon Jan 25 12:06:28 GMT 2021","Mon Jan 25 12:06:29 GMT 2021","977","test","login_tests","","","","Login With Valid Credentials",""
"passed","Mon Jan 25 12:06:48 GMT 2021","Mon Jan 25 12:06:49 GMT 2021","1650","test","main_page_tests","","","","test_find_element_list[chromium]",""
