"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 12:34:12 GMT 2021","Wed Jan 27 12:34:18 GMT 2021","6507","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 12:34:12 GMT 2021","Wed Jan 27 12:34:20 GMT 2021","7858","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 12:34:33 GMT 2021","Wed Jan 27 12:34:34 GMT 2021","932","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 12:34:12 GMT 2021","Wed Jan 27 12:34:18 GMT 2021","5774","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 12:34:34 GMT 2021","Wed Jan 27 12:34:35 GMT 2021","933","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 12:34:26 GMT 2021","Wed Jan 27 12:34:27 GMT 2021","1205","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 12:34:29 GMT 2021","Wed Jan 27 12:34:34 GMT 2021","4851","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 12:34:29 GMT 2021","Wed Jan 27 12:34:32 GMT 2021","3419","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 12:34:28 GMT 2021","Wed Jan 27 12:34:29 GMT 2021","1251","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 12:34:30 GMT 2021","Wed Jan 27 12:34:33 GMT 2021","3071","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 12:34:34 GMT 2021","Wed Jan 27 12:34:35 GMT 2021","1271","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 12:34:27 GMT 2021","Wed Jan 27 12:34:28 GMT 2021","1227","test","registration_tests","","","","Register With new User",""
"passed","Wed Jan 27 12:34:25 GMT 2021","Wed Jan 27 12:34:26 GMT 2021","1105","test","registration_tests","","","","Register With Existing Profile",""
