"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 27 13:53:12 GMT 2021","Wed Jan 27 13:53:13 GMT 2021","1047","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 13:53:03 GMT 2021","Wed Jan 27 13:53:04 GMT 2021","1802","test","login_tests","","","","Logout from System",""
"passed","Wed Jan 27 13:53:08 GMT 2021","Wed Jan 27 13:53:09 GMT 2021","1176","test","registration_tests","","","","Register With Existing Profile",""
"passed","Wed Jan 27 13:53:07 GMT 2021","Wed Jan 27 13:53:08 GMT 2021","1183","test","login_tests","","","","test_should_login[chromium]",""
"passed","Wed Jan 27 13:53:09 GMT 2021","Wed Jan 27 13:53:11 GMT 2021","1435","test","article_tests","","","","Publish Article Flow from MainPage",""
"passed","Wed Jan 27 13:53:11 GMT 2021","Wed Jan 27 13:53:12 GMT 2021","1629","test","article_tests","","","","Publish Article Flow from ArticlePage",""
"passed","Wed Jan 27 13:53:08 GMT 2021","Wed Jan 27 13:53:09 GMT 2021","1101","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 13:53:13 GMT 2021","Wed Jan 27 13:53:14 GMT 2021","1175","test","registration_tests","","","","Register With Invalid Creds",""
"passed","Wed Jan 27 13:53:02 GMT 2021","Wed Jan 27 13:53:04 GMT 2021","1262","test","login_tests","","","","Login With Invalid Credentials",""
"passed","Wed Jan 27 13:53:11 GMT 2021","Wed Jan 27 13:53:13 GMT 2021","1863","test","article_tests","","","","test_should_create_post[chromium]",""
"passed","Wed Jan 27 13:53:11 GMT 2021","Wed Jan 27 13:53:15 GMT 2021","4057","test","main_page_tests","","","","test_find_element_list[chromium]",""
"passed","Wed Jan 27 13:53:03 GMT 2021","Wed Jan 27 13:53:04 GMT 2021","1273","test","login_tests","","","","Login With Valid Credentials",""
"passed","Wed Jan 27 13:53:07 GMT 2021","Wed Jan 27 13:53:08 GMT 2021","1316","test","registration_tests","","","","Register With new User",""
